Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav
	2317,000000	28,303073	-0,288970	-0,113549		28,154421	6,234367	24,487043	-2,558706	49,362114	26,436801	48,717010	6,409840	-0,107331
	2318,000000	28,523493	-0,291508	-0,116870		28,150317	6,241151	24,487350	-2,540356	49,363413	26,432457	48,697556	6,409840	-0,103100
	2319,000000	28,480802	-0,284981	-0,140903		28,144156	6,251034	24,494074	-2,533049	49,364986	26,444416	48,661935	6,413257	-0,107331
	2320,000000	28,367027	-0,283967	-0,137286		28,153123	6,260271	24,498276	-2,497320	49,370275	26,431062	48,616993	6,411549	-0,102042
	2321,000000	28,324387	-0,282474	-0,116537		28,143425	6,275291	24,471588	-2,483143	49,368126	26,426278	48,573237	6,413257	-0,103100
	2322,000000	28,196552	-0,278721	-0,137807		28,138383	6,257627	24,489573	-2,443927	49,361040	26,424458	48,533116	6,409840	-0,107331
	2323,000000	28,352812	-0,286741	-0,124595		28,155423	6,289161	24,492472	-2,447666	49,364869	26,442680	48,514132	6,411549	-0,102042
	2324,000000	28,352812	-0,294604	-0,107437		28,146339	6,298934	24,496448	-2,414052	49,359109	26,427931	48,491684	6,409840	-0,103100
	2325,000000	28,324387	-0,289164	-0,120382		28,150742	6,317405	24,504920	-2,389049	49,363902	26,462005	48,428240	6,409840	-0,106273
	2326,000000	28,338599	-0,277681	-0,106983		28,153112	6,326806	24,490707	-2,365629	49,390130	26,452721	48,397055	6,409840	-0,105215
	2327,000000	28,516377	-0,273450	-0,121579		28,143876	6,331266	24,478123	-2,342089	49,385755	26,457999	48,371860	6,414966	-0,105215
	2328,000000	28,338599	-0,281144	-0,130722		28,133589	6,325906	24,481999	-2,329940	49,421790	26,455194	48,339807	6,406423	-0,106273
	2329,000000	28,338599	-0,282957	-0,114134		28,142088	6,334499	24,489419	-2,281879	49,447058	26,447517	48,297539	6,409840	-0,104158
	2330,000000	28,324387	-0,281549	-0,133470		28,139683	6,369502	24,468018	-2,293249	49,422068	26,465469	48,267074	6,416674	-0,103100
	2331,000000	28,224949	-0,286268	-0,115068		28,160123	6,353397	24,491104	-2,242319	49,462201	26,466334	48,219817	6,408132	-0,104158
	2332,000000	28,253352	-0,296238	-0,129132		28,136104	6,372987	24,483784	-2,211685	49,459037	26,447299	48,213046	6,408132	-0,100985
